Time,Angle_paka,Angle_kolo
0.0011,-0.00549316,0.0
0.1016,-0.00549316,0.0
0.2018,-0.00549316,0.0
0.3021,-0.00549316,0.0
0.4022,-0.00549316,0.0
0.5024,-0.00549316,0.0
0.6025,-0.00549316,0.0
0.7027,-0.00549316,0.0
0.8029,-0.00549316,0.0
0.9031,-0.00549316,0.0
1.0032,-0.00549316,0.0
1.1035,-0.00549316,0.0
1.2037,-0.00549316,0.0
1.3039,-0.00549316,0.0
1.4041,-0.00549316,0.0
1.5042,-0.00549316,0.0
1.6044,-0.00549316,0.0
1.7045,-0.00549316,0.0
1.8047,-0.00549316,0.0
1.9048,-0.00549316,0.0
2.005,-0.00549316,0.0
2.1051,-0.00549316,0.0
2.2053,-0.00549316,0.0
2.3054,-0.00549316,0.0
2.4056,-0.00549316,0.0
2.5058,-0.00549316,0.0
2.606,-0.00549316,0.0
2.7062,-0.00549316,0.0
2.8063,-0.00549316,0.0
2.9065,-0.00549316,0.0
3.0066,-0.00549316,0.0
3.1067,-0.00549316,0.0
3.2069,-0.00549316,0.0
3.307,-0.00549316,0.0
3.4072,-0.00549316,0.0
3.5074,-0.00549316,0.0
